id,author,author_id,text,timestamp,like_count,is_favorited,is_pinned,parent,video_id
UgyaKr97dtXUNOfz5qZ4AaABAg,@RaisRoel,UCuYhOt_55LFPCJ_jAHUvpCQ,22:33,1784005200,1,False,False,root,
UgwieQbOUz_ZciCcDup4AaABAg,@dear26-i3y,UC6lDr5ZdtO_OiyM3WYrt-JA,Singapura jir,1783990800,0,False,False,root,
UgypQJ62K05YYEbR4Mx4AaABAg,@belbulsamudra,UCZMYAFFzhakmxfKGI2S9CRg,Petani libur ke luar negeri..Petani sawit😂😂,1783987200,0,False,False,root,
UgwPDuOg4D3bu5mmBbV4AaABAg,@novelramadhan3374,UC3SH12C8L0AQajRdvYtK9OA,"Yg bisa dengerin full pidato prabowo
Mantap klian 👏",1783965600,1,False,False,root,
UgwAwfRaqDcizwPOOiJ4AaABAg,@JawaraIndonesia-r5s,UClRZo7ymvliG-xETBCnEhMA,"Jawara indonesia
Koparasi. Merah putih lanjutkan
Rakyat butuh untuk usaha yg
Penting yg diberi kekuasaan baik
Dan di desa. Harus jelas  untuk
Rakyat 🙏",1783958400,0,False,False,root,
UgylCI1n8Xvzm5vvkDp4AaABAg,@rizkiaprilio848,UCwhd_mhMKlx9Xw-9UQpU79Q,Ngmngnya berbelit2 pakk😂pusing aku 😮,1783951200,0,False,False,root,
UgzNjTQmgcpD0vA5mDJ4AaABAg,@RyanDeeng,UCp24Vk_Ei9eT2BG2Q3aZCkg,Omon omon itu lagi😂,1783944000,0,False,False,root,
Ugzu9Cjp9XlDBbzjBnh4AaABAg,@RefBang,UCtyuIowSoaGiqN12-8M3MFg,20:20 untuk doksli,1783940400,0,False,False,root,
UgzGv0fJqgwj6JU4TvZ4AaABAg,@wahyusetiono8318,UCdSx5oBTLn7FsXstrjVZC4Q,Siap2 Gerombolan tukang Gorengan siapkan kompor nyalakan api terus goreng Jangan lupa di kasih Bumbu2 penyedap😂😂,1783933200,0,False,False,root,
UgyVi2olLfI1qmjbMPJ4AaABAg,@rusminrudi7475,UCU5Jb7UvTNDFrvKpbUAWRHw,hancur lagi IHSG,1783929600,0,False,False,root,
UgwhSQ--RZ5L7Lipnr94AaABAg,@wahyusetiono8318,UCdSx5oBTLn7FsXstrjVZC4Q,Prabowo Gibran memang Mantap❤❤,1783929600,1,False,False,root,
UgyteuClns0ubU5IAUR4AaABAg,@RandomOfficial1101,UCd5wC0urMynD3ufL-QitP1g,MONYET SAWIT JADI PRESIDENT WKWKK,1783929600,0,False,False,root,
Ugz_OUjem8CMm7dQ6LZ4AaABAg,@ismailprimadana1891,UC9uLIeVgLZNYVBQpaYxZl0A,"20:10 yang nyari doksli ""duduk aja di rumah""",1783929600,0,False,False,root,
Ugz_c4RlLehSahU-ObV4AaABAg,@jakalarrachanel6773,UCW17zJBQCj3G6X0lg0pAD1Q,Maju tetus pak prabowo biarkan orang² yg sukanya nyinyir dan putus asa😂😂😂mereka tidak akan menemukan kebahagian selama pikirannya jongkok,1783900800,0,False,False,root,
UgziP8sGnDRFZ3ybig54AaABAg,@PetaniIndonesia85,UCZFXS0ewF0BzdyXcuha3r5Q,KOPERASI pak harusnya menampung dan membeli semua produk yg di hasilkan masyarakat sekitarnya. Tugas koperasi lah untuk memasarkan keseluruhan daerah,1783900800,0,False,False,root,
UgwuVErpW6bH5BGziy14AaABAg,@fahad911-z3j,UC26ssK8XuiRXLDnQW18yQPA,Pejabat pejabat mentrinya dan dpr banyak koruptor nya.banyak yang korupsi mengeruk s.d.a menggarong duit rakyat.kejar ke antarkita,1783900800,0,False,False,root,
Ugys9NDzdbbj2PDc7ZV4AaABAg,@Taro-d6i,UCBpYaH4FJfTlcjDUMH1l7AQ,"Sudahlah pak  tua...
Negeri ini makin kacau
Ekonomi makin hancur.",1783900800,0,False,False,root,
UgwGu3WGfcQyS8p28Ed4AaABAg,@iwanjeck,UCjXv_gHOKk4nQ_72Bv8LMAA,Gelap gela,1783900800,0,False,False,root,
UgyTRG3LKJPmpEXl74x4AaABAg,@tuanakhmad552,UCDLYFJvWIEx8myzSJ_bwH2A,Semoga tidak hanya Omon - omon doang 🤫😛🤑,1783900800,0,False,False,root,
Ugw1nsB1JNpKjnTCIE94AaABAg,@alphaxjk45,UCPNLNnodzUZkEcZHWPPWfKg,"MANTAP 32:15 HAI PARA KORUPTOR SADAR DIRI, ISINYA DARI KAPOLRI, JAKSA DAN TNI


GG KAMU ABANG KAMERAMEN, MAMAMU PASTI BANGGA",1783900800,3,False,False,root,
UgzE4_sbb_uDhkallTF4AaABAg,@CandraKarya1,UCq7zuetnnf4CjXu9aXT4YGg,"Ah sudah pak, pidatota jangan pakai mic pak",1783900800,1,False,False,root,
UgykBJV7Z-wUhc2ieLt4AaABAg,@Rin2Rin2,UCCmB02TRSpEBP6JxGNOg4kg,Trimakasih pak semenjak ada MBG Saya sebagai petani keringat saya di hargai sekarang.,1783900800,1,False,False,root,
